,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp
0,2,Laufec,12006.7,3671,4313,143.2,Run,Run,0.0,9025265125,2023-05-07T06:46:16Z,2023-05-07T08:46:16Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,4,15,0,1,0,False,False,False,False,everyone,False,,"[50.75352843850851, 7.010563965886831]","[50.75732636265457, 7.006967626512051]",3.271,4.41,84.8,True,167.2,183.0,False,True,168.1,55.4,9682706691,9682706691,garmin_ping_272970480661,False,1,0,False,84.0,54425577,1,a9025265125,yxwtHy|wi@x@rBXVvBvAP`@HbAnAhEBXNp@LZJj@K\}@|A}@j@]`@GZ?NXVRXVLJLlAf@NLx@^JJVZz@|Bh@|@l@SbAGAe@Bs@h@wBFM`@g@hAcAb@QbBiAN?b@_@`@?\b@~@bCXj@b@hA^v@j@bA`A`DLl@`@nA~@rDHhB@|@O^wA`By@hAi@z@Sn@Dt@GzB?~@ZjDH~BB~BFv@h@vALz@`@dBn@dClA~ENx@h@tB|@fEhBhF`@bBTn@T`@dBjFbAnB~@tAf@~@l@zA^n@b@t@~AtBj@pAl@lBhDbDbDpAbExBp@p@p@PxA|@d@JfBlAb@TdAt@HFN`@Lt@d@bARZtAjBt@t@b@Xv@MrBo@XQv@Mx@Fb@LlCjA\Xd@l@v@zAh@p@b@x@b@bAl@`BX|AXn@vAhBx@pAf@|BRr@d@hA\f@n@j@`@Nb@DpAGl@Z`AXXG`@YtAi@x@e@jHwC?}@GwAk@}A_CiEmDuHm@wAUw@oA{CWg@g@y@sBqCiBgBa@YyBaC_@Ym@a@iD}A_@]mAq@e@c@cAk@uBcBe@QyFyCoEsCsAm@yBeBc@SoA{@iBi@cAo@g@g@gAu@mAmAY_@}@qAYk@g@cAs@sBe@u@m@UeA_A{@k@sBoA_@]{@a@c@g@Yw@IBo@hAmA`DcBdEQx@[t@cAbADHXZ|@pCXp@Zj@~BrDv@`BbAnBj@r@BXWv@cAdC{BxHa@bB@n@c@c@c@m@a@u@Sq@i@iDWs@_@_@w@m@UUYi@cB{Ew@uBUi@_@c@cEsCyBsAuDoCoBoA}BgBkBgA{AeAeBcBwAmA_@g@a@Qu@SiC]gC}@qAkA{BmAgA{@WEe@Yk@Hu@Z_DbAoBMmBw@KGc@w@WMGDGJ[dCG~@KbAq@vE]bDUlAYj@_Eq@mCu@m@e@So@EByAi@g@m@Oo@?IRq@@e@b@yAHy@J]Jk@Pa@VeABa@Pq@Js@Ps@VyADI?}A]s@Fu@Ek@]i@GSn@_D\wEd@uC`@iBl@cAJs@`CoIj@{C`@yDTo@ViA^gCRq@Fk@ZkAVu@LcA^}A,2,,,,
1,2,Na bejbol,14353.1,1778,1948,24.0,Ride,Ride,10.0,9018812981,2023-05-06T06:07:45Z,2023-05-06T08:07:45Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,9,12,0,1,0,False,False,False,False,everyone,False,b12280237,"[50.756112, 7.012593]","[50.713809, 7.148215]",8.073,11.56,,True,159.9,186.0,False,True,60.8,49.6,9675865311,9675865311,garmin_ping_272796664647,False,7,0,False,35.0,54425577,1,a9018812981,uhxtHg{xi@Eg@Aq@u@uFk@sDy@_EeAeDcA}BeBiDoCeFw@kB_@aA}@wDSeAIW}D{KeCwGK_@G@IAiDqG_CwE_@iAWUoAkCcBqCUs@y@wBuAqCaAkBo@{@uEsI}@kBaAwBGg@w@mAm@{AoBqF[cAcBqEcAyBqDoHo@{AMs@MM?WRi@d@{@hDcFdAsAzBeDbDqElAkBjA{BbAqC`@oAd@mBf@oCrAaJ^gBCSeAiBq@qBg@iAaA_AMOwC_HUc@]WyAg@_@@aATo@Z}@v@g@Xo@L]IMQKWEa@I_C]kTHm@ViAdBkJlBwKOUs@i@M_@Iy@Jm@tBeGzAaF`Lsb@~EwPhDmJ~CeIbC{ElAwBTs@N_APe@Rc@`@g@\m@fC}FLSLFR\d@t@P?FGd@qAn@iAZO\Kf@S^e@~AeDzCiHx@yBJeANe@zAgCjA}BtA}CBYKYc@w@_@c@WAe@VWE[UMO{@aBKc@Ai@Fe@~@iDjBmHd@wArAiDtA}BfBaC|EqF|BcCrBoB`CqBdC}AbB{@lAc@hCqA~FiCx@[dBi@rBi@dEsArBi@jK_C`FkAzAw@~DkAlGcBxAUdGcBvIcBnBUhBq@vAy@|Ao@hC}@vEiBz@W|@JZC^OzC}AjEgCXY^i@XUnDuBhAy@zBmBfBeBdCuC~AoBrBqCrCsExBwDrEqIlEgJhBeEdAwCbEwNhB{Ip@oDl@eEl@}E^kDdC_Tj@gE~AoKTmANWd@c@R_@Ha@LgA^wBh@yB^g@FU?q@J]t@gBfAaEH{Al@yE\qH\gB\mCj@sClAaEn@mBFKZU,2,139.8,248.5,False,
2,2,Afternoon Ride,14125.5,2112,8386,32.1,Ride,Ride,,9016544997,2023-05-05T13:08:51Z,2023-05-05T15:08:51Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,10,11,0,1,0,False,False,False,False,everyone,False,b12280237,"[50.716452933847904, 7.121658129617572]","[50.75351092033088, 7.010814333334565]",6.688,10.594,,True,114.7,135.0,False,True,66.5,49.5,9673464198,9673464198,garmin_ping_272716189614,False,7,0,False,5.0,54425577,1,a9016544997,m}ptHcmmj@Ub@aAlAuArB[l@iBpDqBvCeBzBcA|@mAlAw@n@_BlA_@TmAbAmAv@_CfBmAt@QXo@f@MDo@d@{@d@}CnBsFvDoBhAcD|ByItFcErBmBfAaErBoC|A}@`@{Az@QF_@BmAb@}At@gDlBc@^e@d@s@h@E@IAK_@KEaAHd@p@THU`@a@\k@r@cDpB]JIQI[_@eDc@oGL[PID?R_A~g@wV_FlBeFhBoDfBcA^WFs@@k@F}Cl@qB\iD`AaHzAaJzBwAd@aAp@w@ZgCf@{Cr@_ANMF{FrA{H~BcFbBqAh@yG|CmBv@mB`AqBpAcClB{GdHsDfE{@hAyBjDSb@aAfC{@pCeBdHu@nDBb@DLr@rA|@rAVH^OJB\d@d@x@@ZEXmCtFsBbDGP[hBkAzCoBrEi@xAERg@hAa@j@[PgAZUPY\KNe@xAMJ[Us@iAIAMZ]hA}@`BGP_AnB_@l@_@`A[`BUf@_BvCeCdFqAjDsEvMkDfLmAdE{B~Iq@tB_ArDkBfHqBbHSx@i@xA}@tCWdAA`@H^NVx@|@?ZYtA_@dCiDjREf@V~K\tKBj@Jv@HRYiAAW@El@d@N?XE@HSdC?fAD~A?xDEd@SnC{@xF?Hr@p@zCxGl@dAlAhCh@pAdBrDBJEJwHrKuBdDaAlA_CtDHNXp@Jp@t@`BjBtDzB|EnA~C`@tA|@hCxArDb@|@ZXTz@r@fBxEnJnA|Bj@v@~BtEp@`Bd@`BHJf@b@\j@x@~AbAvBHDj@tA`FtJ\d@Th@NLPXHXvCrHrC`I`@vAJn@v@`Dn@jBpAtC~ApC`C|Eh@pAnAxDn@rCv@xEh@bEDN@v@QZTrEAbCDnCGj@DbBVtA\bAx@rARhAJ^HNDAFGJW,2,97.7,206.3,False,
3,2,Morning Ride,14237.0,2108,2329,32.5,Ride,Ride,,9016542711,2023-05-04T06:11:05Z,2023-05-04T08:11:05Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,3,9,0,1,0,False,False,False,False,everyone,False,b12280237,"[50.75814552605152, 7.019558250904083]","[50.707774981856346, 7.129670474678278]",6.754,10.454,,True,124.6,153.0,False,True,66.2,49.6,9673461688,9673461688,garmin_ping_272716143019,False,1,0,False,7.0,54425577,1,a9016542711,u_ytHgvzi@[q@wAiEeAmCiAqCMe@i@mAI[KEQSiA{B_CoEi@eAgAeCSIEGw@kBk@iAWg@w@aAk@eAOk@c@mAwA}Cm@gAk@y@oBoD}D_Im@uAE_@qA{BaAeCsDmKqA{C_CwEgA_Ce@iAGg@KKE@EOHYhBsClAgBpA}AlAkBlHoKvAmCvAyDv@uCh@oCt@yFh@wCXgAEQ]c@g@cAi@qASy@]q@gAeA]o@mCoGIMUUi@Sw@WM?cB`@[P{@x@WLQLi@N_@GY]Ms@a@uU?wAFi@jCgNxAyIEUKQu@o@G]Ea@BQlFsQ~CmLrEgQhCeJ~AoFnCwHhAoDbBcExA{ClBoDRYP[Lc@ZyAh@gAr@eAjCcGFGD?FDd@t@MNLPL?VWhAaCXS`AYXMZi@`AsBpFiMHW@_@Dc@L]rBiDxDuHfFqJdAkBn@{AX_AbAoB@SGiAGUMUEAQH]Hg@wAIQQQo@oCq@}BEw@F]jB}Bh@k@`A{@hEuEfAaAr@i@z@k@lBiA~@c@vAc@rCyAjF_CzFqBd@Kl@UrBo@pWaGf@Ut@e@XKXEjA]pHiBnBa@nEqAtHwAdBYfBSnB{@xA}@~Am@nAi@`IwCL@\J\@ZGrBaA`EyBlAu@VUN]TQhC{AhBqAzAmAtBqBzDkExAoBjEwGxBuDpFaKxAwCpAeClAiCtBmFlAuDRIPL\\h@b@rAz@V?LORg@p@{BZ{@j@q@Pi@NSf@eA`CkEBCHFRj@Zn@dAnC`@tAFJPDTMfBeCnAyA`@a@l@w@HGB@bAhDAZQ^ZfARTPX}@iBEAE@MLaApAa@z@aAfAw@fAGTBV\z@X~@^|@V`@NCr@_ApDeE~D_F^YBBd@a@b@[LWXkAnBcC~A}Ap@u@T]hE_Er@s@jAaA,2,96.7,203.8,False,
4,2,Evening Ride,14083.3,2091,4671,30.9,Ride,Ride,,9016540993,2023-05-03T16:10:09Z,2023-05-03T18:10:09Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,9,13,0,1,0,False,False,False,False,everyone,False,b12280237,"[50.70861652493477, 7.128944015130401]","[50.75580362230539, 7.0101114269346]",6.735,9.781,,True,129.4,157.0,False,True,65.1,49.5,9673459883,9673459883,garmin_ping_272716111012,False,2,0,False,9.0,54425577,1,a9016540993,onotHeboj@mBqEg@cBcCyFi@eAQD{AdDe@z@I@ICQW_CcGCAI@Ob@k@zCO^e@|@WXYT}Al@WV_@j@cH|LoCrEs@`AKXOz@MZyD|GYn@{@rCW`@MAWQuCgCG?OHQVa@`B{AlEuAzCkCjF_@|@yBfEcElHmClEuBzCuCtDkApAc@l@eGnF{@l@mBdA{A~@IHQZUTyHhEqAn@i@Hg@K[BoBv@mDfAeFjB{BjAkBd@O?GEu@XeAJwBb@g@NsAR_SnE]@BDCBUPo@PiAb@_An@sBj@aMhCqBf@wBj@kCz@k@Vu@LcEtAoBz@qGzCaBr@gB~@eAp@}C|B{EbFaB~AaCvCITAZJr@n@lBh@fBn@dCz@tBRn@@f@I^m@`A]v@u@xAoApBmGnLcDvGqArBGNMd@Cb@Od@}AjDyCdH]`Ae@p@[RqAh@u@zA[v@MNY]g@aAIAOLoCpGSVs@lAa@pAKj@M\kAxB_DpG{BvFqExMuEbPuDfNqF~SWp@cC`I]rA@NFj@JTt@r@NT`Ub]tA`CfJpPPn@GXOZcAhBuApBeEdF_ArAIPM~@a@lAS~@_@zBy@~F_@nBq@nCi@`BaAbCcAhB{DzF@ADPP^ALEPIHk@^e@h@c@x@SXC?GlAEIwDzPrCzFtB|ERj@p@zBtAtDfAnCj@|@ZfAlAlClA~BpAhCtAfCXb@X^jBrDbAvB`@dB`A~@lBtDh@lAPNVp@pBdEdCrELPFRr@dAHXTh@j@`BzAxDl@jBhBvE~ArGv@bClAfCdBzCrCbGl@dB`AhD^hBr@vEb@xDGEE@IDCD@\Jx@,2,96.4,201.6,False,
5,2,Ofis,14568.3,2101,2478,42.7,Ride,Ride,10.0,9000989463,2023-05-03T05:57:44Z,2023-05-03T07:57:44Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,6,17,1,1,0,False,False,False,False,everyone,False,b12280237,"[50.75547656044364, 7.009438443928957]","[50.70773701183498, 7.129597552120686]",6.934,13.43,,True,123.0,149.0,False,True,65.5,49.5,9657049269,9657049269,garmin_ping_272306112367,False,2,0,False,6.0,54425577,1,a9000989463,ghxtHoxxi@_@}E_@_D_@gC{@uE}@yC_AkCuBmECGKEi@aA_AiBkAeCkAmDw@wD_AyBkAuDgEeLAKIO[WSa@cFsJq@uAKc@YWkAgCkAqBk@q@g@u@a@_B}CuGg@s@iFwJkAiC[w@Gc@MUa@i@Wo@iC_Hg@cBYw@cAeC_@s@w@iBsDgHCS@EA@GKOg@AUEKMKKU?IHStAsBdCkDjDiFpAcBf@{@zB}CnA{BZq@p@kBp@{Bl@cCj@mC~@gHd@yBCO[[{@qBm@kBSc@U]_A}@IOuCyGS_@YScBi@M@wAXMDwBdBs@N[IKMKSKs@OqGCmDOoFCuBDY~BiLpBcLCW_A{@M]Ee@Bg@b@gAxCuJRg@dBgHrCyK|D{NjD_M`EgLbCgGhAkCjBmDbA_BRm@NkAN]N]z@oAb@}@dAgCv@_BXL\r@VZJ@FCJSb@qAXk@`@YjAe@f@s@fAkBr@gBl@mBhAoCx@{BJiAL_@nAsBrAqClM}Ux@sBVaAaDwK@Wo@kCCe@B[DKZc@dAiAvG{G`B}A~BcBhBaAfI{DnAe@bBw@fBq@jDgAjA[nDmA`EcAxFoAjFeAxAi@jAo@fG{AlBi@|Cs@rC{@zCo@hA]jASlBY^Il@I\?|AY~EeCdBi@fIwC\B\F^EZMfB{@fGmDLKh@cAfCwArBsAzBoBpBqBlCyClBcCdB}B~@wAr@oAzC}ExEyI|CkG|BgFhAsCz@{CFMHEF?x@l@PTb@`@hAl@JCR_AvAoDh@aARWh@cAj@aAh@kA^q@p@aBpDwGb@s@HCF@HHpAtCdAlBNHN?JCFERSx@sAP{@ZcBNk@FIH?Dv@R~A`@dCTt@VEVURHFJ`AnEEVEGHMn@[VCJb@VJJCpBiB`F_FbA{@bBkB`BuA,2,111.8,234.8,False,
6,2,Lunch Ride,80043.2,10707,18154,351.8,Ride,Ride,,9000988862,2023-04-30T10:00:37Z,2023-04-30T12:00:37Z,(GMT+01:00) Europe/Prague,7200.0,,,Czech Republic,25,26,0,4,0,False,False,False,False,everyone,False,b12280237,"[49.234331203624606, 16.52447140775621]","[49.03688541613519, 16.617599884048104]",7.476,13.896,,True,127.2,157.0,False,True,275.6,169.5,9657048378,9657048378,garmin_ping_272306083074,False,6,0,False,38.0,54425577,1,a9000988862,_cokHie{cBNcAfDyAnIaIrIwE`MmKzKuFpDwDpLiEvEn@V~AlImFbFuMrAyI\}K{Bie@~@uJfBiGp@mAfJyAxCb@dZkKxAuCzCgOfCaDzCs@h@qFdCuFfLkFpOiRfAlAfFy@zP~A~Us@fEwAXjAB_C|FsBdTjHzAiExC}A`JyJjBbJdF`AdAzDxBrCS~LuAtAqAbFsGcq@vSm]hAwLpBaBmB}D?mFgE_Y{GeQqCyKe@uNr@yMqAcHpAk@x@cQ|IgQnBwCwDeDk@eCvCkMXaEuAu@r@kH|@eDzMsOtQ{\dD}Dnc@oKi@_GzE{CKwDfYcDlXcNxVp@rFcBz@|Cti@_TzFzB~EfAjOj@pOEb@_D|`@|@VsA_AiEH{HrL`@UmCzH}ItCkAdt@jBbFpA|WsDvGnHhLK~Bq@lGmHnF_B`TyMhJzMkBzFlEdMIbT|Fd@|P`Gti@db@pCsl@rNa@xAqTtGeA^iEM_PnDG|WmK`ER|EdCpFQdHeKhKNtF_IdEaAbAXZ|CUnAqDpAdAnJnE|ClHxAlK?~OzDhPyA`GoCvL|@~EeCfAuBbLtBbLxQlBxVlAvEjZ~h@fBrBl@mAlJjFhGdHtEfBxBHdDmDhJnKtHSfM}H`JsAlDrWbAt@tLoIjBaCPeCdG_Jn`@{RzCN`JiF|d@~_AxRrfApCfI|W{MpJaItKvo@dErCZdClt@mH`Wk@~B}A~tA{Kve@gDlDt@pC}BtTaFdPsHzBlB|DuLhCiChCvD~GsRjBeC~LyNlK}HbHqMrG_I|O}LfEiPbBkCCqEn@cDlg@im@dKjPfDrBdU|SnFd@~FoGvCtCvJm@xB{OzJye@vu@qNbWsK|K}JxNuSvByGxGyK`AcE~F{G`CgM|CtFdPdKt@xCCzIr@dHxBjF`G`EpIFn\qFtE`AdJtGzMqFfAiOXc`@|B_NfDiKx@wWnDePlGoQrEaZbSuXtEoOi@{@`@jAqE~N_SbXwEnZcHfS{B`Kq@pEk@hUwCbJmClO_@v`@gA`N{M|EmJeH}Fy@k[pFyJg@kDoC_CgFu@aFA}Kq@kDeOeJcEiHgClNyG`Io@jDmGvJsCnIcNjRsMhLmWzJws@|MaOfw@aJb@eDeDeGzGsGiAuXuVwKoPwf@xm@iApDHdEgI~U}OtL}E`G}GfMuLhJcMlOmJdUo@FuAsDkC|B_FpNA_AaB}AsP|HiUnF}BlB}Du@eg@pDitAxKuAvAaHWgcAfJQoCiEmC}Kwo@{KhJiDz@qQpJiCsIkRaeAke@s`AqJpFsDBo]`QoFlFeAsBeFtJmGjC,2,120.3,1287.6,False,
7,2,Ne,3118.9,933,1313,0.0,Run,Run,0.0,8958305314,2023-04-26T04:20:19Z,2023-04-26T07:20:19Z,(GMT+02:00) Europe/Bucharest,10800.0,,,Czech Republic,0,21,0,1,0,False,False,False,False,everyone,False,,"[44.44565990008414, 26.038126973435283]","[44.443342639133334, 26.052852300927043]",3.343,4.8,84.8,True,149.5,167.0,False,True,85.0,74.3,9611765966,9611765966,garmin_ping_271118672186,False,0,2,False,9.0,54425577,1,a8958305314,eygnGaa}}Cq@yHCsA@sAv@iI^qCPgBPeALgBb@kDFu@j@uFD_A,2,,,,
8,2,Společnost,7424.7,2679,2689,128.9,Run,Run,0.0,8925413746,2023-04-20T14:44:26Z,2023-04-20T16:44:26Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,1,28,0,2,0,False,False,False,False,everyone,False,,"[50.75445086695254, 7.0107197016477585]","[50.75373806990683, 7.010773681104183]",2.771,5.018,81.6,True,146.2,163.0,False,True,165.1,55.4,9576625134,9576625134,garmin_ping_270209270305,False,0,0,False,15.0,54425577,1,a8925413746,{{wtH{_xi@lApBRl@^j@f@Zj@d@XPZb@Dz@AHIN_At@o@~As@`AAJD^Rx@fAdCN^F^FBPd@n@v@b@Vd@d@xAf@TTn@|@^zAj@nANFh@WTFDBR?VEEo@Dg@`@uBHWd@}@d@a@XOx@g@^[LId@Ej@i@\QZFT`@tBrFlAzBV|@v@bCh@zBx@vCFd@J|B?`@KPQNqB|BUh@Ub@K`@GFAP?~AGlA@`BFr@Jb@JfAHjC?v@DhAHh@d@tAf@vBb@vAn@fCZvB`AhEnBxHv@tBjAvDBR\~@t@zCXj@^j@~@nApAbClAtCxAlBVPPf@b@t@Ld@Nf@Xl@HDVXv@n@^TX\`@Z`Ad@xAj@TTj@VjAp@z@b@PNNHPC@]CcAGYBgBVs@^q@Ng@@k@AYOu@Bq@TeABIVU\CX]JQXSD_@HS^MZS`@s@B[WOy@Wi@[kCaAc@SmCaCQU]]QW_@_@c@{@Ua@g@kAm@gBa@i@a@[_@Qa@c@qA}@a@U[Yq@a@YIu@]c@i@_@k@KYW[a@vAw@vBe@dBm@lAKj@MRg@bBq@h@U?S[W_@Ig@_AgCKi@[m@o@sB{@eEOk@QaAs@gCm@mCSw@[_Bg@mBi@yAE{@C}CEq@MuAOy@K_AAq@BiBLkAAEOHQd@EAMO_BkDa@gA]u@kA_Dm@uAMc@AOHo@N[Za@^]FMLe@Ic@e@g@e@a@YGa@Jq@^_@Fi@GGCYa@YWO?_@JgCpBc@BGCa@Yc@k@q@wAWq@_@kBI}@Qy@Yu@C]MIKQPg@^a@RYjAgA\e@@OCUIc@_@o@s@cCUcACe@Qs@Q_@e@k@YEk@k@]g@s@aBSm@,2,,,,
9,2,ParkRun ft. Štěpánovka 🫀,4924.2,1219,1219,12.1,Run,Run,1.0,8892754966,2023-04-15T07:03:51Z,2023-04-15T09:03:51Z,(GMT+01:00) Europe/Berlin,7200.0,,,Czech Republic,2,24,2,2,0,False,False,False,False,everyone,False,,"[50.7088964805007, 7.150194654241204]","[50.70919604972005, 7.150551052764058]",4.04,6.246,89.2,True,190.6,202.0,False,True,59.8,54.6,9542059375,9542059375,garmin_ping_269331069310,False,1,0,False,65.0,54425577,1,a8892754966,ynotH}qsj@[n@Oj@Yv@g@`Ck@hEIzADhBGZEFe@Nc@W_@e@}@mBeA_Ba@Iw@Bi@M_@Nq@xAsAfE{@zDa@`DAnAGtAQdBOpCYxCAVq@tDs@tAS|@_@`AWd@@n@FRJDvAGV@r@Rf@V^Bh@Vb@EtA_CPe@PeA?kAf@eB`@eANUVq@t@iAdAaARUrBwCr@sANa@Ry@\{BFcBGmAOq@]aA_@c@o@a@c@c@c@q@_@{@g@aAKOe@]a@Oo@Ge@I]N]h@Wz@u@hBi@tBq@|CWjC@bAGhB_@rDEx@GTM|@MxAGVa@lAq@hD]~Ag@jAKz@BPPD`@@r@Gd@H^LXXf@Hz@Xd@O~@cBPi@Pw@Ho@?YzA}DXw@DQ^u@pCiDfA_Br@qANa@XgAXyAHsA?{@Em@i@wCQsACcB?aATwBXcB\mBl@yB,2,,,,
